Subject,Type,Project,Parent,Priority,Status,Start date,Due date,Assignee,Estimated time,Labels,Version,Story Points,Risk Level,Definition of Ready,Definition of Done,Acceptance Criteria,Success Metrics,External Dependencies,Rollback Plan,Description,% Complete,Role,AI Agent Instructions
Feature: WhatsAppChat UI,Feature,Psitrix Psynq,Epic: UI Components Implementation,Normal,New,2026-06-14,2026-06-24,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,WhatsAppChat Component,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: WhatsAppChat UI'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Build Component: WhatsAppChat,Task,Psitrix Psynq,Feature: WhatsAppChat UI,High,New,2026-06-14,2026-06-16,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/modules/omnichannel/WhatsAppChat.tsx`
**Props Interface:** `WhatsAppChatProps`
**Requirements:**
- Functional component with Hooks
- Tailwind CSS styling
- Responsive design
- Accessibility (ARIA)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Build Component: WhatsAppChat'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Logic: WhatsAppChat,Task,Psitrix Psynq,Feature: WhatsAppChat UI,Normal,New,2026-06-15,2026-06-17,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/modules/omnichannel/useWhatsAppChat.ts` (Custom Hook)
**Requirements:**
- Handle API calls (React Query)
- Form validation (Zod/React Hook Form)
- State management (Zustand if needed)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Logic: WhatsAppChat'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Test Component: WhatsAppChat,Task,Psitrix Psynq,Feature: WhatsAppChat UI,Normal,New,2026-06-16,2026-06-18,Developer,4h,"Frontend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/modules/omnichannel/WhatsAppChat.test.tsx`
**Requirements:**
- Render testing (React Testing Library)
- User interaction simulation
- Mock API calls (MSW)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Test Component: WhatsAppChat'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Storybook: WhatsAppChat,Task,Psitrix Psynq,Feature: WhatsAppChat UI,Low,New,2026-06-17,2026-06-18,Developer,4h,"Frontend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/modules/omnichannel/WhatsAppChat.stories.tsx`
**Requirements:**
- Default state
- Loading state
- Error state
- Empty state",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Storybook: WhatsAppChat'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Responsive Check: WhatsAppChat,Task,Psitrix Psynq,Feature: WhatsAppChat UI,Normal,New,2026-06-18,2026-06-19,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Mobile view (320px)
- Tablet view (768px)
- Desktop view (1024px+)
- Flex/Grid behavior",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Responsive Check: WhatsAppChat'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
a11y Audit: WhatsAppChat,Task,Psitrix Psynq,Feature: WhatsAppChat UI,Normal,New,2026-06-18,2026-06-19,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Keyboard navigation
- Screen reader support
- Color contrast
- ARIA labels",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'a11y Audit: WhatsAppChat'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
i18n Support: WhatsAppChat,Task,Psitrix Psynq,Feature: WhatsAppChat UI,Low,New,2026-06-16,2026-06-17,Developer,4h,"Frontend,i18n",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/locales/en/whatsappchat.json`
**Requirements:**
- Extract all strings
- Add translation keys
- Support RTL if needed",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'i18n Support: WhatsAppChat'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Error Boundary: WhatsAppChat,Task,Psitrix Psynq,Feature: WhatsAppChat UI,Low,New,2026-06-17,2026-06-18,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Requirements:**
- Graceful error fallback
- Retry mechanism
- Error logging",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Error Boundary: WhatsAppChat'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: EmailInbox UI,Feature,Psitrix Psynq,Epic: UI Components Implementation,Normal,New,2026-06-14,2026-06-24,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,EmailInbox Component,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: EmailInbox UI'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Build Component: EmailInbox,Task,Psitrix Psynq,Feature: EmailInbox UI,High,New,2026-06-14,2026-06-16,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/modules/omnichannel/EmailInbox.tsx`
**Props Interface:** `EmailInboxProps`
**Requirements:**
- Functional component with Hooks
- Tailwind CSS styling
- Responsive design
- Accessibility (ARIA)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Build Component: EmailInbox'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Logic: EmailInbox,Task,Psitrix Psynq,Feature: EmailInbox UI,Normal,New,2026-06-15,2026-06-17,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/modules/omnichannel/useEmailInbox.ts` (Custom Hook)
**Requirements:**
- Handle API calls (React Query)
- Form validation (Zod/React Hook Form)
- State management (Zustand if needed)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Logic: EmailInbox'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Test Component: EmailInbox,Task,Psitrix Psynq,Feature: EmailInbox UI,Normal,New,2026-06-16,2026-06-18,Developer,4h,"Frontend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/modules/omnichannel/EmailInbox.test.tsx`
**Requirements:**
- Render testing (React Testing Library)
- User interaction simulation
- Mock API calls (MSW)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Test Component: EmailInbox'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
Storybook: EmailInbox,Task,Psitrix Psynq,Feature: EmailInbox UI,Low,New,2026-06-17,2026-06-18,Developer,4h,"Frontend,Docs",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/modules/omnichannel/EmailInbox.stories.tsx`
**Requirements:**
- Default state
- Loading state
- Error state
- Empty state",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Storybook: EmailInbox'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Responsive Check: EmailInbox,Task,Psitrix Psynq,Feature: EmailInbox UI,Normal,New,2026-06-18,2026-06-19,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Mobile view (320px)
- Tablet view (768px)
- Desktop view (1024px+)
- Flex/Grid behavior",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Responsive Check: EmailInbox'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
a11y Audit: EmailInbox,Task,Psitrix Psynq,Feature: EmailInbox UI,Normal,New,2026-06-18,2026-06-19,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Checklist:**
- Keyboard navigation
- Screen reader support
- Color contrast
- ARIA labels",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'a11y Audit: EmailInbox'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
i18n Support: EmailInbox,Task,Psitrix Psynq,Feature: EmailInbox UI,Low,New,2026-06-16,2026-06-17,Developer,4h,"Frontend,i18n",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/locales/en/emailinbox.json`
**Requirements:**
- Extract all strings
- Add translation keys
- Support RTL if needed",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'i18n Support: EmailInbox'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Error Boundary: EmailInbox,Task,Psitrix Psynq,Feature: EmailInbox UI,Low,New,2026-06-17,2026-06-18,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**Requirements:**
- Graceful error fallback
- Retry mechanism
- Error logging",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Error Boundary: EmailInbox'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Feature: SmsComposer UI,Feature,Psitrix Psynq,Epic: UI Components Implementation,Normal,New,2026-06-14,2026-06-24,Developer,,,v1.0.0-MVP,,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,SmsComposer Component,0,Product Owner / Architect,"Act as a Solution Architect. Define the technical specifications and sub-tasks for 'Feature: SmsComposer UI'. Ensure alignment with the CCaaS platform goals (reliability, scalability, low latency)."
Build Component: SmsComposer,Task,Psitrix Psynq,Feature: SmsComposer UI,High,New,2026-06-14,2026-06-16,Developer,4h,"Frontend,UI",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/modules/omnichannel/SmsComposer.tsx`
**Props Interface:** `SmsComposerProps`
**Requirements:**
- Functional component with Hooks
- Tailwind CSS styling
- Responsive design
- Accessibility (ARIA)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Build Component: SmsComposer'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Implement Logic: SmsComposer,Task,Psitrix Psynq,Feature: SmsComposer UI,Normal,New,2026-06-15,2026-06-17,Developer,4h,"Frontend,Logic",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/modules/omnichannel/useSmsComposer.ts` (Custom Hook)
**Requirements:**
- Handle API calls (React Query)
- Form validation (Zod/React Hook Form)
- State management (Zustand if needed)",0,Developer,Act as a Senior Full-Stack Developer. Your goal is to implement 'Implement Logic: SmsComposer'. 1. Follow Hexagonal Architecture (Domain -> Ports -> Adapters). 2. Use NestJS/React best practices. 3. Ensure all code is strictly typed. 4. NO MOCKS: Use real DB/API connections unless it's a unit test. 5. Update Swagger/Storybook documentation.
Test Component: SmsComposer,Task,Psitrix Psynq,Feature: SmsComposer UI,Normal,New,2026-06-16,2026-06-18,Developer,4h,"Frontend,Testing",v1.0.0-MVP,3,Low,Specs defined,Code implemented & tested,Tests passing; No mocks,Functional requirement met,,Revert commit,"**File:** `packages/web/src/modules/omnichannel/SmsComposer.test.tsx`
**Requirements:**
- Render testing (React Testing Library)
- User interaction simulation
- Mock API calls (MSW)",0,QA Engineer,"Act as a Senior QA Engineer. Your goal is to verify the implementation of 'Test Component: SmsComposer'. 1. Review the code in the specified file paths. 2. Execute existing tests and write new ones for edge cases (nulls, timeouts, high load). 3. Ensure 100% coverage. 4. Report any regressions or performance bottlenecks."
